pitch=10 viewHeight=400 viewWidth=700 aspect=1.750
  frac x  frac y |  3D lands at   |  HUD draws at  |  error (world px)
   0.05    0.05  |   49.4   30.8 |     35     20 |   14.4   10.8
   0.50    0.05  |    350   30.8 |    350     20 |      0   10.8
   0.95    0.05  |  650.6   30.8 |    665     20 |  -14.4   10.8
   0.05    0.25  |   43.1  104.1 |     35    100 |    8.1    4.1
   0.50    0.25  |    350  104.1 |    350    100 |      0    4.1
   0.95    0.25  |  656.9  104.1 |    665    100 |   -8.1    4.1
   0.05    0.50  |     35    200 |     35    200 |      0      0
   0.50    0.50  |    350    200 |    350    200 |      0      0
   0.95    0.50  |    665    200 |    665    200 |      0      0
   0.05    0.75  |   26.4  301.2 |     35    300 |   -8.6    1.2
   0.50    0.75  |    350  301.2 |    350    300 |      0    1.2
   0.95    0.75  |  673.6  301.2 |    665    300 |    8.6    1.2
   0.05    0.95  |   19.2  386.2 |     35    380 |  -15.8    6.2
   0.50    0.95  |    350  386.2 |    350    380 |      0    6.2
   0.95    0.95  |  680.8  386.2 |    665    380 |   15.8    6.2
